ispb,nome,nome_reduzido,modalidade_participacao,tipo_participacao,inicio_operacao,data_carga
64237530,CC CREDIUNA LTDA,CC CREDIUNA LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25404542,CC CREDIVAG,CC CREDIVAG,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25387655,CC CREDIVALE LTDA. - SICOOB CREDIVALE,CC CREDIVALE LTDA. - SICOOB CREDIVALE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25798596,CC CREDIVAR,CC CREDIVAR,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00803287,CC CREDIVAZ LTDA,CC CREDIVAZ LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
22724710,CC CREDIVERTENTES,CC CREDIVERTENTES,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
05463934,CC CREDLIDER,CC CREDLIDER,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25536764,CC CREDPLUS,CC CREDPLUS,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
09512539,CC DA FOZ DO RIO ITAJAÍ AÇU,CC DA FOZ DO RIO ITAJAÍ AÇU,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
04247370,CC DE EMPRESÁRIOS,CC DE EMPRESÁRIOS,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
08844074,CC DE ITAPETININGA - SICOOB CRED-ACI,CC DE ITAPETININGA - SICOOB CRED-ACI,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
01187961,CC DISTRITO FEDERAL E ENTORNO,CC DISTRITO FEDERAL E ENTORNO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
03461243,CC DO NORTE CATARINENSE,CC DO NORTE CATARINENSE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
81011686,CC DO NORTE CATARINENSE E SUL PARANAENSE,CC DO NORTE CATARINENSE E SUL PARANAENSE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
03033469,CC DO PLANALTO SUL,CC DO PLANALTO SUL,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
82133182,CC DO VALE EUROPEU - SICOOB EURO VALE,CC DO VALE EUROPEU - SICOOB EURO VALE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
19495266,CC EMP DA CIA INDUSTRIAL CATAGUASES E BAUMINAS LTDA.,CC EMP DA CIA INDUSTRIAL CATAGUASES E BAUMINAS LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
10808037,CC EMPRESÁRIOS DE MANAUS,CC EMPRESÁRIOS DE MANAUS,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
26014175,CC GUARANICREDI,CC GUARANICREDI,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
